date,ifix_value,title_sentiment,snippet_sentiment,average_sentiment
2022-12-20,2779.54,0.6908,0.6486,0.6697
2022-12-21,2799.72,,,
2022-12-22,2801.14,-0.6249,-0.6249,-0.6249
2022-12-23,2820.03,0.0,0.0,0.0
2022-12-24,,0.0,0.6249,0.31245
2022-12-25,,-0.7717,-0.7579,-0.7648
2022-12-26,2826.99,,,
2022-12-27,2834.46,,,
2022-12-28,2850.52,-0.5045,0.0086,-0.24795
2022-12-29,2867.13,-0.5357,0.1321,-0.2018
2022-12-30,,-0.296,-0.5267,-0.41135
2022-12-31,,0.10115,0.31245,0.2068
2023-01-01,,-0.04183,0.14983,0.054
2023-01-02,2861.1,0.10846,0.28824,0.19835
2023-01-03,2855.21,0.08895,0.0498,0.06937
2023-01-04,2846.9,-0.07695,-0.343,-0.20998
2023-01-05,2855.86,,,
2023-01-06,2850.98,-0.296,-0.0772,-0.1866
2023-01-07,,,,
2023-01-08,,0.34288,0.60632,0.4746
2023-01-09,2845.35,-0.54663,0.02903,-0.2588
2023-01-10,2845.39,-0.28652,-0.11338,-0.19995
2023-01-11,2839.07,-0.2083,0.00783,-0.10023
2023-01-12,2833.33,0.14615,0.17,0.15808
2023-01-13,2838.74,-0.23868,0.3226,0.04196
2023-01-14,,-0.7845,-0.3612,-0.57285
2023-01-15,,,,
2023-01-16,2840.79,,,
2023-01-17,2838.03,-0.14792,-0.39305,-0.27049
2023-01-18,2838.73,-0.1909,-0.26335,-0.22712
2023-01-19,2824.92,0.0,0.14788,0.07394
2023-01-20,2826.67,-0.1702,-0.39543,-0.28282
2023-01-21,,,,
2023-01-22,,0.10205,-0.54105,-0.2195
2023-01-23,2815.86,-0.05658,0.00342,-0.02658
2023-01-24,2811.9,0.1806,-0.1806,0.0
2023-01-25,2816.54,-0.15158,0.0762,-0.03769
2023-01-26,2809.44,,,
2023-01-27,2809.46,0.0,0.0,0.0
2023-01-28,,0.0,0.0,0.0
2023-01-29,,,,
2023-01-30,2807.88,0.0,-0.41285,-0.20643
2023-01-31,2821.14,-0.0086,0.0181,0.00475
2023-02-01,2807.02,-0.09363,0.16707,0.03672
2023-02-02,2814.15,-0.23922,-0.26518,-0.2522
2023-02-03,2815.69,,,
2023-02-04,,0.0,0.0,0.0
2023-02-05,,0.4767,0.4767,0.4767
2023-02-06,2811.12,0.0,0.0,0.0
2023-02-07,2804.81,-0.10105,0.25975,0.07935
2023-02-08,2798.31,-0.0585,-0.08895,-0.07372
2023-02-09,2791.44,0.2732,-0.6249,-0.17585
2023-02-10,2785.52,0.19327,0.2061,0.19968
2023-02-11,,,,
2023-02-12,,,,
2023-02-13,2774.4,0.0,-0.3612,-0.1806
2023-02-14,2778.7,0.1027,0.0754,0.08905
2023-02-15,2782.91,-0.3919,-0.128,-0.25995
2023-02-16,2780.71,-0.23835,0.20215,-0.0181
2023-02-17,2797.4,0.15293,0.184,0.16847
2023-02-18,,-0.2294,-0.18415,-0.20677
2023-02-19,,,,
2023-02-20,,-0.4609,-0.7593,-0.6101
2023-02-21,,-0.5994,-0.836,-0.7177
2023-02-22,2797.85,-0.4939,-0.4939,-0.4939
2023-02-23,2793.49,,,
2023-02-24,2803.11,,,
2023-02-25,,,,
2023-02-26,,-0.3818,-0.6808,-0.5313
2023-02-27,2808.07,0.00463,-0.2696,-0.13248
2023-02-28,2808.39,0.1582,0.11315,0.13567
2023-03-01,2808.7,0.4588,0.4767,0.46775
2023-03-02,2810.98,0.03474,0.10546,0.0701
2023-03-03,2821.35,0.22834,0.194,0.21117
2023-03-04,,0.0,0.0,0.0
2023-03-05,,0.0,0.0,0.0
2023-03-06,2811.73,-0.2275,0.4052,0.08885
2023-03-07,2809.1,0.15922,0.2687,0.21396
2023-03-08,2798.4,,,
2023-03-09,2791.81,-0.01465,0.20082,0.09309
2023-03-10,2788.51,0.1761,0.42893,0.30252
2023-03-11,,,,
2023-03-12,,,,
2023-03-13,2772.75,-0.3182,-0.5423,-0.43025
2023-03-14,2774.85,0.0,-0.0772,-0.0386
2023-03-15,2778.06,-0.2202,-0.21075,-0.21548
2023-03-16,2777.15,-0.4404,0.7351,0.14735
2023-03-17,2776.03,0.0,0.0,0.0
2023-03-18,,,,
2023-03-19,,0.5994,0.2617,0.43055
2023-03-20,2768.22,,,
2023-03-21,2769.48,0.0,0.2732,0.1366
2023-03-22,2768.43,0.0258,-0.25705,-0.11562
2023-03-23,2760.67,-0.34,-0.4939,-0.41695
2023-03-24,2770.26,0.2407,0.1983,0.2195
2023-03-25,,,,
2023-03-26,,0.0772,0.0,0.0386
2023-03-27,2767.27,,,
2023-03-28,2763.77,-0.2846,-0.29295,-0.28877
2023-03-29,2744.39,0.0,0.2171,0.10855
2023-03-30,2736.12,-0.3031,0.03707,-0.13301
2023-03-31,2760.96,-0.2263,0.3182,0.04595
2023-04-01,,,,
2023-04-02,,,,
2023-04-03,2753.11,,,
2023-04-04,2761.0,0.29558,0.37495,0.33526
2023-04-05,2760.26,-0.1733,0.01064,-0.08133
2023-04-06,2760.38,-0.31845,-0.1343,-0.22638
2023-04-07,,0.32723,0.4991,0.41317
2023-04-08,,,,
2023-04-09,,,,
2023-04-10,2760.71,0.0593,-0.00937,0.02497
2023-04-11,2765.29,-0.08618,-0.02996,-0.05807
2023-04-12,2769.99,-0.0231,0.0102,-0.00645
2023-04-13,2769.7,0.3695,0.1909,0.2802
2023-04-14,2781.47,0.00032,0.08008,0.0402
2023-04-15,,0.0,0.0,0.0
2023-04-16,,0.5423,0.0,0.27115
2023-04-17,2797.18,0.2263,-0.0258,0.10025
2023-04-18,2809.34,-0.10977,-0.21423,-0.162
2023-04-19,2809.01,0.0,0.1706,0.0853
2023-04-20,2813.94,0.3243,0.3638,0.34405
2023-04-21,,0.0,0.05135,0.02568
2023-04-22,,-0.6486,-0.7096,-0.6791
2023-04-23,,,,
2023-04-24,2816.23,0.0,0.5809,0.29045
2023-04-25,2814.98,0.50965,-0.26205,0.1238
2023-04-26,2817.21,0.0,0.3243,0.16215
2023-04-27,2827.24,0.0386,0.31245,0.17552
2023-04-28,2858.23,0.3715,0.20095,0.28622
2023-04-29,,-0.5106,-0.4019,-0.45625
2023-04-30,,0.0,0.1806,0.0903
2023-05-01,,-0.0565,0.1087,0.0261
2023-05-02,2859.63,-0.06915,-0.04745,-0.0583
2023-05-03,2863.9,-0.4767,0.0,-0.23835
2023-05-04,2875.33,0.10395,-0.04145,0.03125
2023-05-05,2886.42,0.06025,0.18682,0.12354
2023-05-06,,,,
2023-05-07,,,,
2023-05-08,2898.59,0.0,0.12755,0.06378
2023-05-09,2910.39,-0.1594,-0.13068,-0.14504
2023-05-10,2915.0,0.26663,0.37063,0.31863
2023-05-11,2928.48,0.04077,-0.1642,-0.06172
2023-05-12,2944.57,-0.3439,-0.4174,-0.38065
2023-05-13,,,,
2023-05-14,,,,
